Time[s],TrainingNetwork::frmStatus::sigCounter
147.400534,224
147.600536,225
147.800530,226
148.000532,227
148.200534,228
148.400532,229
148.600530,230
148.800528,231
149.000534,232
149.200534,233
149.400530,234
149.600530,235
149.800536,236
150.000532,237
150.200530,238
150.400528,239
150.600534,240
150.800534,241
151.000532,242
151.200528,243
151.400536,244
151.600536,245
151.800532,246
152.000530,247
152.200654,248
152.400536,249
152.600536,250
